change_price,changePercent,vol,high,low,last
-0.07,-2.39,"64,794",2.96,2.96,2.86
0.02,3.57,"64,624",0.59,0.59,0.58
-0.005,-1.82,"64,451",0.275,0.275,0.27
-,-,"64,116",0.065,0.065,0.06
-0.005,-20,"63,656",0.025,0.025,0.02
0.005,0.85,"63,163",0.605,0.605,0.595
-0.005,-6.67,"62,761",0.075,0.075,0.07
-0.005,-3.45,"60,810",0.145,0.145,0.14
0.01,1.89,"58,788",0.54,0.54,0.54
-0.03,-3.49,"58,266",0.86,0.86,0.83
-0.005,-6.67,"58,118",0.075,0.075,0.07
0.01,4.55,"58,104",0.235,0.235,0.23
-,-,"58,081",0.295,0.295,0.28
0.005,2.63,"58,064",0.195,0.195,0.195
-0.025,-6.25,"57,916",0.41,0.41,0.375
-0.02,-1.31,"57,708",1.55,1.55,1.51
-,-,"57,235",0.215,0.215,0.21
-0.015,-4.41,"56,513",0.35,0.35,0.325
-0.01,-0.97,"56,354",1.04,1.04,1.02
-0.01,-1.94,"55,410",0.515,0.515,0.505
-0.005,-6.67,"55,188",0.075,0.075,0.07
0.01,0.67,"55,038",1.5,1.5,1.5
0.015,33.33,"54,271",0.06,0.06,0.06
-0.01,-5,"54,212",0.205,0.205,0.19
-0.025,-13.16,"53,896",0.18,0.18,0.165
-,-,"53,696",0.28,0.28,0.27
-,-,"53,094",0.295,0.295,0.29
-,-,"52,810",0.055,0.055,0.05
-0.015,-2.88,"52,563",0.515,0.515,0.505
-,-,"51,762",0.16,0.16,0.16
-0.015,-3.53,"51,582",0.42,0.42,0.41
-,-,"51,509",0.09,0.09,0.09
0.005,2.38,"51,508",0.22,0.22,0.215
-,-,"51,045",0.125,0.125,0.12
-0.005,-3.23,"49,480",0.155,0.155,0.15
0.03,2.52,"49,332",1.23,1.23,1.22
-,-,"49,239",0.11,0.11,0.105
-,-,"48,468",0.205,0.205,0.205
0.025,9.62,"48,433",0.285,0.285,0.285
-,-,"48,379",0.055,0.055,0.055
-,-,"47,934",8.22,8.22,8.18
0.01,2.38,"47,916",0.44,0.44,0.43
-0.02,-0.88,"47,727",2.29,2.29,2.25
0.03,1.02,"47,471",2.97,2.97,2.97
-0.01,-18.18,"47,430",0.05,0.05,0.045
-,-,"47,017",3.07,3.07,3.06
0.05,10.87,"46,729",0.53,0.53,0.51
0.005,3.13,"46,394",0.17,0.17,0.165
0.03,1.28,"45,922",2.4,2.4,2.38
-0.005,-7.69,"45,729",0.065,0.065,0.06
0.005,10,"45,461",0.055,0.055,0.055
-0.005,-3.57,"45,357",0.15,0.15,0.135
-0.005,-0.75,"45,285",0.685,0.685,0.665
0.005,0.75,"45,071",0.68,0.68,0.675
0.005,20,"45,062",0.03,0.03,0.03
-,-,"44,442",0.045,0.045,0.045
-0.005,-1.18,"44,007",0.43,0.43,0.42
-0.01,-3.64,"43,875",0.28,0.28,0.265
-0.04,-1.26,"43,079",3.18,3.18,3.14
-0.005,-2.94,"42,936",0.17,0.17,0.165
-0.005,-7.14,"42,764",0.07,0.07,0.065
0.005,20,"42,568",0.03,0.03,0.03
0.02,11.11,"42,160",0.2,0.2,0.2
-,-,"42,120",0.09,0.09,0.085
-0.01,-4.35,"41,992",0.235,0.235,0.22
0.02,4.94,"41,950",0.435,0.435,0.425
-,-,"41,893",0.155,0.155,0.15
-0.06,-1.33,"41,608",4.55,4.55,4.45
-0.005,-1.82,"41,096",0.28,0.28,0.27
